City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.69,128.87,-28.43,69,0,5.1,RU,1579974245
1,rikitea,-23.12,-134.97,78.44,79,0,15.35,PF,1579974245
2,kruisfontein,-34,24.73,69.94,81,11,2.86,ZA,1579974246
3,narsaq,60.92,-46.05,15.8,66,75,2.24,GL,1579974246
4,san patricio,19.22,-104.7,77.85,66,39,3.06,MX,1579974246
5,wilmington,34.23,-77.94,64,58,0,4,US,1579974231
6,laguna,38.42,-121.42,57,93,90,4.7,US,1579974247
7,awbari,26.59,12.78,61.97,18,84,9.22,LY,1579974247
8,mataura,-46.19,168.86,52,92,81,0.54,NZ,1579974247
9,chara,56.91,118.26,-11.42,91,87,0.87,RU,1579974247
10,klaksvik,62.23,-6.59,46.36,83,100,25.61,FO,1579974248
11,hofn,64.25,-15.21,33.3,97,100,4.21,IS,1579974248
12,todos santos,23.45,-110.22,73,63,84,1.99,MX,1579974248
13,puerto ayora,-0.74,-90.35,78.01,61,76,5.01,EC,1579974248
14,hasaki,35.73,140.83,41,70,100,1.99,JP,1579974248
15,san quintin,30.48,-115.95,63.37,68,13,1.88,MX,1579974248
16,nouadhibou,20.93,-17.03,66.33,65,0,24,MR,1579974249
17,punta arenas,-53.15,-70.92,59,51,72,35.01,CL,1579974249
18,kapaa,22.08,-159.32,68,59,68,7.18,US,1579974249
19,touros,-5.2,-35.46,82.63,81,18,15.68,BR,1579974066
20,naze,28.37,129.48,69.1,81,100,5.79,JP,1579974249
21,bonavista,48.65,-53.11,23,73,0,7,CA,1579974250
22,ilulissat,69.22,-51.1,10.4,43,40,5.82,GL,1579974182
23,pinega,64.7,43.39,3.16,95,100,6.44,RU,1579974250
24,atuona,-9.8,-139.03,80.69,80,2,16.53,PF,1579974250
25,hilo,19.73,-155.09,66.99,96,21,1.99,US,1579974159
26,nargana,9.44,-78.59,78.37,73,82,13.76,PA,1579974251
27,bluff,-46.6,168.33,52,92,32,3.02,NZ,1579974156
28,primorsk,46.73,36.34,38.89,71,3,15.12,UA,1579974251
29,yakeshi,49.28,120.73,-14.44,95,0,3.76,CN,1579974251
30,ukiah,39.15,-123.21,57.99,98,99,3.38,US,1579974252
31,cabra,37.47,-4.44,51.01,76,100,8.63,ES,1579974252
32,bethel,41.37,-73.41,46,96,100,10,US,1579974252
33,yellowknife,62.46,-114.35,5,84,100,11.01,CA,1579974252
34,qaanaaq,77.48,-69.36,-12.98,48,2,4.41,GL,1579974186
35,ushuaia,-54.8,-68.3,46.42,79,100,7.74,AR,1579973986
36,vila franca do campo,37.72,-25.43,61,85,91,7,PT,1579974166
37,mahebourg,-20.41,57.7,78.01,81,100,3,MU,1579974253
38,okato,-39.2,173.88,61,92,1,1.99,NZ,1579974253
39,mount isa,-20.73,139.5,75.81,86,100,13.35,AU,1579974254
40,evanton,57.66,-4.34,48,82,100,5.01,GB,1579974254
41,korsakov,46.63,142.78,7.61,76,0,19.22,RU,1579974254
42,mujiayingzi,42.12,118.78,18.12,62,0,2.91,CN,1579974254
43,san jose,37.34,-121.89,57,93,90,3.36,US,1579974045
44,bluefields,12.01,-83.76,79.41,65,34,4.76,NI,1579974255
45,oksbol,55.63,8.29,44.01,87,100,1.99,DK,1579974255
46,bloomsburg,41,-76.45,42.01,95,100,3,US,1579974255
47,tasiilaq,65.61,-37.64,23,73,100,11.41,GL,1579974255
48,severo-yeniseyskiy,60.37,93.04,24.67,89,98,16.08,RU,1579974256
49,brejo,-3.68,-42.75,90.01,57,48,4.07,BR,1579974256
50,chauk,20.88,94.82,62.17,39,0,2.86,MM,1579974256
51,sale,34.04,-6.82,57,75,33,11.99,MA,1579973999
52,issa,53.87,44.86,30.87,98,100,8.7,RU,1579974257
53,airai,-8.93,125.41,68.86,94,100,1.95,TL,1579974161
54,madang,-5.22,145.8,82.87,81,74,12.26,PG,1579974257
55,baloi,8.11,124.22,80.01,88,26,1.01,PH,1579974257
56,vaini,-21.2,-175.2,78.51,85,83,24.23,TO,1579974257
57,bridlington,54.08,-0.19,43,80,73,5.99,GB,1579974258
58,dikson,73.51,80.55,-8.39,96,100,6.89,RU,1579974258
59,la ronge,55.1,-105.28,26.01,96,100,3.83,CA,1579974258
60,georgetown,5.41,100.34,82,78,15,5.01,MY,1579974123
61,castro,-24.79,-50.01,80.62,38,34,4.25,BR,1579974179
62,tevaitoa,-16.78,-151.5,81.95,75,63,11.9,PF,1579974259
63,marcon,47.71,0.51,46.99,87,56,6.73,FR,1579974259
64,new norfolk,-42.78,147.06,66,72,100,3,AU,1579974260
65,cape town,-33.93,18.42,70,77,51,10,ZA,1579974002
66,carnarvon,-24.87,113.63,78.62,68,0,21.54,AU,1579974260
67,busselton,-33.65,115.33,66.99,56,21,11.39,AU,1579974260
68,toora-khem,52.47,96.11,8.82,87,100,3,RU,1579974261
69,bredasdorp,-34.53,20.04,68,81,2,8.01,ZA,1579974261
70,vila velha,-20.33,-40.29,78.01,79,100,3.62,BR,1579974125
71,ucluelet,48.93,-125.55,46,94,100,3.94,CA,1579974261
72,codrington,-38.27,141.97,62.22,92,61,14.03,AU,1579974261
73,shirokiy,49.76,129.52,-9.99,95,72,4.81,RU,1579974262
74,rio grande,-32.03,-52.1,93,36,55,7.25,BR,1579973984
75,balabac,7.99,117.06,80.19,87,3,8.9,PH,1579974262
76,batemans bay,-35.72,150.18,73,97,96,0.4,AU,1579974262
77,longyearbyen,78.22,15.64,-12.28,61,0,2.42,SJ,1579974218
78,hobart,-42.88,147.33,66,36,100,3.51,AU,1579974027
79,broome,42.25,-75.83,37,100,100,16.44,US,1579974263
80,barrow,71.29,-156.79,-18.4,68,90,9.17,US,1579974263
81,muros,42.78,-9.06,55,82,20,5.99,ES,1579974213
82,bengkulu,-3.8,102.27,72.9,92,89,3.02,ID,1579974263
83,goderich,43.75,-81.72,37.99,94,100,1.99,CA,1579974264
84,medowie,-32.73,151.87,77,86,89,3,AU,1579974264
85,saint-philippe,-21.36,55.77,71.01,93,100,4,RE,1579974177
86,kenai,60.55,-151.26,8.01,61,49,5.99,US,1579974264
87,sorland,67.67,12.69,36.9,60,100,8.25,NO,1579974264
88,port alfred,-33.59,26.89,66,94,1,1.01,ZA,1579974265
89,sitka,57.05,-135.33,32.52,96,100,9.57,US,1579974209
90,arraial do cabo,-22.97,-42.03,76.12,84,0,15.86,BR,1579974265
91,chebenki,51.93,55.71,26.91,95,100,16.2,RU,1579974265
92,grafton,42.21,-71.69,45,94,83,1.99,US,1579974265
93,daru,-9.08,143.21,74.98,95,100,3.56,PG,1579974266
94,saskylakh,71.92,114.08,-15.63,93,100,19.15,RU,1579974069
95,schio,45.71,11.36,46.99,99,100,7,IT,1579974266
96,kaitangata,-46.28,169.85,58.15,77,96,4.92,NZ,1579974266
97,montevarchi,43.53,11.57,53.01,94,97,2.93,IT,1579974266
98,ust-kuyga,70.02,135.6,-41.84,97,1,7.25,RU,1579974267
99,port lincoln,-34.73,135.87,63.34,91,17,5.88,AU,1579974267
100,staroderevyankovskaya,46.13,38.97,41.88,73,100,21.32,RU,1579974267
101,chokurdakh,70.63,147.92,-32.53,91,33,1.95,RU,1579974267
102,albany,42.6,-73.97,41,74,100,5.57,US,1579974176
103,fernandopolis,-20.28,-50.25,84.24,58,2,6.17,BR,1579974267
104,saint-georges,12.06,-61.75,79.7,77,100,14.25,GD,1579974268
105,taoudenni,22.68,-3.98,81.7,17,86,4.63,ML,1579974268
106,kloulklubed,7.04,134.26,81.79,84,71,16.62,PW,1579974268
107,suntar,62.14,117.63,-3.59,98,97,4.52,RU,1579974268
108,hermanus,-34.42,19.23,69.01,81,13,8.01,ZA,1579974269
109,vardo,70.37,31.11,22.71,88,100,19.06,NO,1579974269
110,bafra,41.57,35.91,37.92,59,13,8.08,TR,1579974269
111,berlevag,70.86,29.09,23.74,65,99,16.15,NO,1579974179
112,jamestown,42.1,-79.24,37.99,10,100,1.01,US,1579974270
113,nikolskoye,59.7,30.79,32,74,95,1.01,RU,1579974214
114,mayumba,-3.43,10.66,83.77,78,53,11.43,GA,1579974270
115,alice springs,-23.7,133.88,73.58,24,1,9.26,AU,1579974270
116,mapiripan,2.89,-72.13,95.77,36,82,7.87,CO,1579974270
117,sturgeon falls,46.36,-79.93,34.2,97,100,11.45,CA,1579974270
